row_id,day,region,channel,version,control_clicks,control_impressions,control_rate,treatment_clicks,treatment_impressions,treatment_rate,gap,missing_rate,late_arrival_rate
scope-west-organic-v84-day024,24,west,organic,8.4,43,979,0.043922,49,979,0.050051,0.006129,0.0,0.004
scope-east-paid-v83-day025,25,east,paid,8.3,39,966,0.040373,44,966,0.045549,0.005176,0.0,0.006
scope-east-paid-v84-day025,25,east,paid,8.4,41,1025,0.04,47,1025,0.045854,0.005854,0.0,0.006
scope-east-organic-v83-day025,25,east,organic,8.3,42,961,0.043704,48,961,0.049948,0.006243,0.0,0.006
scope-east-organic-v84-day025,25,east,organic,8.4,43,988,0.043522,49,988,0.049595,0.006073,0.0,0.006
scope-west-paid-v83-day025,25,west,paid,8.3,37,914,0.040481,42,914,0.045952,0.00547,0.0,0.006
scope-west-paid-v84-day025,25,west,paid,8.4,37,929,0.039828,43,929,0.046286,0.006459,0.0,0.006
scope-west-organic-v83-day025,25,west,organic,8.3,40,905,0.044199,45,905,0.049724,0.005525,0.0,0.006
scope-west-organic-v84-day025,25,west,organic,8.4,46,1054,0.043643,53,1054,0.050285,0.006641,0.0,0.006
scope-east-paid-v83-day026,26,east,paid,8.3,39,963,0.040498,44,963,0.045691,0.005192,0.0,0.008
scope-east-paid-v84-day026,26,east,paid,8.4,40,1007,0.039722,46,1007,0.04568,0.005958,0.0,0.008
scope-east-organic-v83-day026,26,east,organic,8.3,43,984,0.043699,49,984,0.049797,0.006098,0.0,0.008
scope-east-organic-v84-day026,26,east,organic,8.4,43,971,0.044284,49,971,0.050463,0.006179,0.0,0.008
scope-west-paid-v83-day026,26,west,paid,8.3,36,901,0.039956,41,901,0.045505,0.005549,0.0,0.008
scope-west-paid-v84-day026,26,west,paid,8.4,39,974,0.040041,45,974,0.046201,0.00616,0.0,0.008
scope-west-organic-v83-day026,26,west,organic,8.3,40,906,0.04415,45,906,0.049669,0.005519,0.0,0.008
scope-west-organic-v84-day026,26,west,organic,8.4,46,1035,0.044444,52,1035,0.050242,0.005797,0.0,0.008
scope-east-paid-v83-day027,27,east,paid,8.3,40,999,0.04004,46,999,0.046046,0.006006,0.0,0.01
scope-east-paid-v84-day027,27,east,paid,8.4,41,1019,0.040236,47,1019,0.046124,0.005888,0.0,0.01
scope-east-organic-v83-day027,27,east,organic,8.3,41,935,0.04385,47,935,0.050267,0.006417,0.0,0.01
scope-east-organic-v84-day027,27,east,organic,8.4,47,1068,0.044007,53,1068,0.049625,0.005618,0.0,0.01
scope-west-paid-v83-day027,27,west,paid,8.3,41,1023,0.040078,47,1023,0.045943,0.005865,0.0,0.01
scope-west-paid-v84-day027,27,west,paid,8.4,41,1016,0.040354,47,1016,0.04626,0.005906,0.0,0.01
scope-west-organic-v83-day027,27,west,organic,8.3,45,1022,0.044031,51,1022,0.049902,0.005871,0.0,0.01
scope-west-organic-v84-day027,27,west,organic,8.4,40,914,0.043764,46,914,0.050328,0.006565,0.0,0.01
scope-east-paid-v83-day028,28,east,paid,8.3,41,1037,0.039537,48,1037,0.046287,0.00675,0.0,0.004
scope-east-paid-v84-day028,28,east,paid,8.4,41,1018,0.040275,47,1018,0.046169,0.005894,0.0,0.004
scope-east-organic-v83-day028,28,east,organic,8.3,47,1075,0.043721,54,1075,0.050233,0.006512,0.0,0.004
scope-east-organic-v84-day028,28,east,organic,8.4,46,1051,0.043768,53,1051,0.050428,0.00666,0.0,0.004
scope-west-paid-v83-day028,28,west,paid,8.3,38,961,0.039542,44,961,0.045786,0.006243,0.0,0.004
scope-west-paid-v84-day028,28,west,paid,8.4,38,962,0.039501,44,962,0.045738,0.006237,0.0,0.004
scope-west-organic-v83-day028,28,west,organic,8.3,44,1010,0.043564,50,1010,0.049505,0.005941,0.0,0.004
scope-west-organic-v84-day028,28,west,organic,8.4,45,1018,0.044204,51,1018,0.050098,0.005894,0.0,0.004
scope-east-paid-v83-day029,29,east,paid,8.3,40,991,0.040363,46,991,0.046418,0.006054,0.0,0.006
scope-east-paid-v84-day029,29,east,paid,8.4,41,1034,0.039652,48,1034,0.046422,0.00677,0.0,0.006
scope-east-organic-v83-day029,29,east,organic,8.3,45,1018,0.044204,51,1018,0.050098,0.005894,0.0,0.006
scope-east-organic-v84-day029,29,east,organic,8.4,41,925,0.044324,46,925,0.04973,0.005405,0.0,0.006
scope-west-paid-v83-day029,29,west,paid,8.3,43,1077,0.039926,50,1077,0.046425,0.0065,0.0,0.006
scope-west-paid-v84-day029,29,west,paid,8.4,36,910,0.03956,42,910,0.046154,0.006593,0.0,0.006
scope-west-organic-v83-day029,29,west,organic,8.3,45,1020,0.044118,51,1020,0.05,0.005882,0.0,0.006
scope-west-organic-v84-day029,29,west,organic,8.4,41,924,0.044372,46,924,0.049784,0.005411,0.0,0.006
scope-east-paid-v83-day030,30,east,paid,8.3,40,1008,0.039683,46,1008,0.045635,0.005952,0.0,0.008
scope-east-paid-v84-day030,30,east,paid,8.4,40,1012,0.039526,47,1012,0.046443,0.006917,0.0,0.008
scope-east-organic-v83-day030,30,east,organic,8.3,40,915,0.043716,46,915,0.050273,0.006557,0.0,0.008
scope-east-organic-v84-day030,30,east,organic,8.4,41,933,0.043944,47,933,0.050375,0.006431,0.0,0.008
